a1,a2,a3,counterfeit
12.3784,0.70403,-7.5836,0
8.1881,-3.1338,-2.5276,0
-10.8679,9.4926,-1.4116,1
-8.7903,7.9735,-0.45475,1
-5.5167,10.939,-0.4082,1
2.2907,0.95766,0.83058,0
6.9176,-0.79372,0.48403,0
3.1991,-1.8219,-2.9452,1
-1.5147,1.219,0.44524,1
7.05,-0.58808,0.41809,0
8.3061,0.022844,-3.2724,0
2.1065,-0.28305,1.5625,0
5.1815,1.0673,-0.42113,0
-0.15521,0.060545,-0.088807,1
-1.3781,2.3055,-0.021566,1
8.7903,-2.2324,-0.65259,0
7.528,-0.41929,-2.6478,0
-4.5752,5.947,0.21507,0
1.9161,-3.1098,-0.20518,1
3.733,0.6312,-0.39786,0
3.2074,-0.15966,-0.26208,0
4.2855,-4.8457,-2.9013,1
-1.2519,2.2635,0.77239,1
1.7237,-2.1501,-0.77027,1
7.259,0.070827,-7.3004,1
-6.3444,4.6575,0.16981,1
7.6584,0.5558,-2.9155,1
-4.4862,3.6558,-0.61251,0
-7.108,5.6454,0.31335,1
2.5762,1.3098,0.5655,0
8.1261,0.13081,-5.0142,1
9.5083,-3.1783,-3.0086,0
-7.1059,6.6188,-0.33708,1
11.6894,2.5454,-3.2763,0
-5.6967,5.9179,0.37671,1
8.633,-2.9941,-1.3082,0
3.4619,-0.47841,-3.8879,1
8.0433,0.044265,-4.4983,1
2.4728,4.4578,0.21636,0
2.0838,-0.46813,-1.6767,1
-9.3304,9.233,-0.79871,1
6.1975,1.099,-1.131,0
-3.2902,3.1674,1.0866,0
10.6878,-3.4071,-4.109,0
8.6703,-2.8913,-1.5086,0
3.8385,-0.79544,-1.2138,1
2.4769,1.9379,-0.040962,0
7.3108,-0.81857,-1.8784,0
2.121,1.8385,0.38317,0
11.0272,-4.353,-4.1013,0
3.2136,-3.3085,-2.7965,1
-1.8768,2.4023,1.1319,1
-4.9932,10.4052,-0.53104,1
1.7775,0.73745,-0.45346,1
6.0692,0.57208,-5.4668,1
2.7645,-0.62578,-2.8573,1
8.693,1.3989,-3.9668,0
2.5017,1.5215,0.903,0
-3.2633,3.0895,-0.9849,0
6.7769,-0.61979,0.38576,0
-6.0816,10.0958,-1.0147,1
0.9291,0.78543,0.6767,0
2.8908,0.59693,0.79825,0
9.7753,-3.9795,-3.4638,0
-5.8023,11.244,-0.3901,1
5.9409,-2.8544,-0.60863,0
-5.0966,6.6779,0.17498,1
5.8209,1.1959,-0.64613,0
3.3998,-4.4327,-4.2655,1
8.8172,-1.5323,-1.7957,0
1.2395,1.997,2.1547,0
-3.1039,2.3757,0.78532,0
-0.14693,0.044265,-0.15605,1
9.2952,-0.43642,-6.3694,1
3.8468,-0.63435,-1.175,1
-12.7509,16.7166,-3.2168,1
1.8955,0.1865,-2.4409,1
6.5989,-0.3336,-0.56466,0
3.0439,-3.4816,-2.7836,1
1.076,0.64577,0.89394,0
-3.3584,3.4202,1.0905,0
0.39315,-0.32846,-0.13794,1
7.586,-0.28562,-1.6677,0
-6.8121,7.1398,1.3323,1
-8.3123,12.4547,-1.4375,1
7.1742,0.78457,-0.75734,0
-4.449,2.1067,0.94308,1
3.0294,2.9164,-0.068117,0
-3.0336,2.5334,0.20214,0
7.3273,0.46583,-1.4543,0
0.46351,1.4281,2.0202,0
-0.17383,-0.11339,1.2198,1
-12.9309,13.1779,-2.5677,1
1.9368,-2.4697,-0.80518,1
-0.24832,-0.45613,0.41938,1
11.4038,2.5394,-5.5793,0
6.8369,0.69718,-0.55691,0
-6.4334,8.15,-0.89828,0
9.647,-3.2074,-2.5948,0
-5.1856,3.6935,-1.1427,0
-0.10554,1.2798,1.0414,1
9.5414,-4.2536,-4.003,0
-5.8126,10.8867,-0.52846,1
5.0097,-5.0394,-6.3862,1
7.1307,-1.3035,0.21248,0
-5.5871,8.6564,-1.722,0
2.8659,-1.6488,-2.4319,1
3.2881,-2.2701,-2.2224,1
3.5674,-4.3882,-3.8116,1
9.0386,-3.2417,-1.2991,0
0.21313,0.20278,1.2095,0
3.4288,-4.0309,-1.4259,1
10.3754,-1.5435,-4.1633,0
3.7412,-4.5415,-4.2526,1
3.8426,-4.9314,-4.1323,1
-5.6574,6.103,0.65214,1
2.0755,-0.2702,1.2379,0
2.2948,2.1135,0.35084,0
-6.4168,5.6026,1.0323,1
0.47799,-1.9804,0.57714,1
-3.3729,2.5976,0.55257,0
-6.661,5.8245,0.5461,1
-6.8555,6.2169,-0.62285,1
8.0102,0.4247,-3.2207,1
5.5788,-2.4089,-0.056479,0
-2.4583,2.2806,1.0323,0
10.1477,-3.9366,-4.0728,0
7.6046,-2.3429,-0.85302,0
5.3449,2.045,-0.19355,0
-0.99326,1.0947,0.88619,1
6.8741,0.91995,-0.6694,0
11.8797,0.41613,-6.9978,0
5.0097,-2.2384,0.43878,0
